Num	Chromosome	Region	Strand	MappedChromosome	MappedRegion
1639	C08	25819358..26473498	+	A01	14462247..14864104
1640	C08	15163710..15369992	+	A01	7712173..7995215
1646	C08	33683678..34597967	-	A01	973242..1887099
1647	C08	15368513..15902467	-	A01	9115609..9841146
1648	C08	24928348..25803143	-	A01	12253801..12515612
1880	C09	1387704..1900376	+	A01	21789263..22211446
1881	C09	17051152..18885364	+	A01	11092298..11992775
1882	C09	32081849..33813782	+	A01	19295673..20039151
1883	C09	11244001..12995598	+	A01	6007649..6851948
1893	C09	3881204..4428421	-	A01	10292668..10688595
1894	C09	7821181..8962528	-	A01	4383599..4811618
1895	C09	6462318..7620192	-	A01	5013412..5770995
1896	C09	36010967..36862619	-	A01	1327377..2179314
1897	C09	5020530..5866942	-	A01	2968493..3612270
1898	C09	38329980..38687929	-	A01	20632512..20855182
34	C01	12060698..13234130	-	A02	5568508..6374357
35	C01	6216009..6755380	-	A02	16498458..17235151
36	C01	38362657..38750671	-	A02	19561524..20142626
227	C02	14011206..20894484	+	A02	10057066..13159331
228	C02	5403708..9597297	+	A02	3611257..5536609
229	C02	3277414..5447020	+	A02	2158405..3479684
230	C02	37846751..39910228	+	A02	8243116..9361663
231	C02	30293741..32074768	+	A02	16053754..17198032
232	C02	32283719..33840507	+	A02	17325025..18027628
233	C02	2843404..3301726	+	A02	1278147..1568925
234	C02	13375890..13924116	+	A02	9349059..9552827
238	C02	1017290..2568062	-	A02	2092..1012692
239	C02	40069142..41293253	-	A02	19617424..20369469
240	C02	9695801..10775648	-	A02	5551257..6247434
241	C02	41565359..42547090	-	A02	21975494..22597116
242	C02	12438765..13513250	-	A02	18041571..18460070
243	C02	42887302..43584316	-	A02	18483190..18842130
244	C02	45392..362786	-	A02	1088375..1320245
245	C02	42327711..42794280	-	A02	19093291..19401938
246	C02	10804652..11309924	-	A02	8029610..8232984
247	C02	32087366..32267109	-	A02	3535225..3604584
248	C02	43588494..44030988	-	A02	21738929..21994521
249	C02	3933711..4395933	-	A02	23021908..23241357
250	C02	20633679..21328188	-	A02	15347505..15531245
446	C03	1990978..5947864	+	A02	1690431..5529420
447	C03	29881399..31049419	+	A02	22478105..22890631
448	C03	11200505..11801793	+	A02	21546822..21927718
449	C03	33109805..36299190	+	A02	4234030..4892054
450	C03	19692848..20061086	+	A02	2029195..2508824
451	C03	55254717..55559274	+	A02	5804429..6053256
456	C03	19969..1729846	-	A02	13989..1167732
457	C03	6553888..8003284	-	A02	6626229..8232984
458	C03	5971023..6512002	-	A02	5591702..6223308
459	C03	42496122..43024060	-	A02	22385247..22467901
460	C03	19298931..19625908	-	A02	14196744..14594822
461	C03	36405744..39265891	-	A02	3476224..4118672
745	C04	26543430..27069976	+	A02	23330024..23949085
972	C05	13735892..16518115	+	A02	11066114..12622445
973	C05	31505608..31936795	+	A02	472846..729715
979	C05	5824643..6991595	-	A02	13063854..14011085
980	C05	4312797..5125090	-	A02	5781135..6234563
1173	C07	32135900..34194541	+	A02	8243116..9352035
1174	C07	27602038..29495460	+	A02	16498458..18027628
1175	C07	25135252..26315049	+	A02	7394669..7880935
1184	C07	36045130..37398210	-	A02	21220693..21994521
1185	C07	34314983..34939343	-	A02	19900731..20369469
1186	C07	35344460..36032624	-	A02	18483190..18883202
1187	C07	41033300..41592446	-	A02	16053754..16747185
1188	C07	38656346..39414838	-	A02	17028606..17968086
1189	C07	24060881..24915460	-	A02	15949039..16694254
1426	C06	7521161..8146119	+	A02	18041571..18460070
1427	C06	16929995..17917859	+	A02	20703714..20899357
1434	C06	2001..2504081	-	A02	11532494..13756480
1435	C06	31408117..35576702	-	A02	9323125..12595622
1436	C06	2944597..4226535	-	A02	10692333..11647640
1437	C06	30023304..31384453	-	A02	12928533..14059928
1438	C06	4427196..5255742	-	A02	9651462..10224233
1439	C06	35536418..37369218	-	A02	14923920..15369969
1440	C06	7048411..7395013	-	A02	9435948..9658174
1662	C08	36670091..36957712	-	A02	10692333..11195205
1907	C09	17336879..20768268	+	A02	6737525..7693068
1908	C09	1744748..2388383	+	A02	8260997..9326734
1909	C09	39328608..40098480	+	A02	758518..1094213
1910	C09	21489993..23384688	+	A02	7728860..8276356
1911	C09	38179293..39219279	+	A02	167521..638511
1912	C09	3696169..4630697	+	A02	21220693..22037226
1913	C09	6932349..8739626	+	A02	16053754..17381829
1914	C09	37547975..37964519	+	A02	5575..201797
1915	C09	31888672..32814204	+	A02	23009515..23871257
1916	C09	8706509..9179679	+	A02	17501467..18011583
1917	C09	23379354..23867302	+	A02	5568508..5702070
1918	C09	3491217..3624710	+	A02	18925395..19041705
1919	C09	23931701..24889024	+	A02	5841961..6128706
1920	C09	22773..708554	+	A02	14156989..14749161
1921	C09	4600658..4775486	+	A02	18545209..18799817
1922	C09	13033490..14275925	+	A02	15329022..15894468
1926	C09	28370646..33880855	-	A02	2151856..4320198
1927	C09	34983779..36760831	-	A02	1281973..2095518
1928	C09	24750857..28283433	-	A02	4505911..5614782
1929	C09	2837513..3449916	-	A02	19102236..19738644
1930	C09	2435306..2774598	-	A02	19870923..20369469
1931	C09	5163886..5593699	-	A02	21999630..22154875
1932	C09	37920268..38298684	-	A02	204680..351740
1933	C09	30849137..31469984	-	A02	20395763..20634884
43	C01	2560793..5859156	+	A03	3030011..5413247
44	C01	38016002..38457602	+	A03	24642867..25168798
45	C01	37383139..37874348	+	A03	19583429..19836989
46	C01	33873179..34579316	+	A03	853979..1302175
47	C01	12592344..13432195	+	A03	26001949..26510224
48	C01	1888737..2386559	+	A03	11296345..11846764
57	C01	6342073..14237322	-	A03	5412561..8949158
58	C01	260888..2595265	-	A03	567054..2521538
59	C01	34771900..37262491	-	A03	19856569..20792965
60	C01	28674389..33786955	-	A03	21100648..22842586
61	C01	38200135..38750671	-	A03	19155469..19549581
62	C01	25569123..28690491	-	A03	22665586..23349760
63	C01	36155790..37360378	-	A03	27995828..28580968
64	C01	5875757..6220177	-	A03	9170574..9354012
65	C01	8216683..8994406	-	A03	16822689..17146991
67	C01	11333710..11836402	-	A03	26984837..27367835
68	C01	1079798..1818843	-	A03	10124296..10598925
71	C01	6731833..7825775	-	A03	10596784..11125321
255	C02	51843..3301726	+	A03	27430617..29478138
256	C02	3296103..5395529	+	A03	30118949..31226476
257	C02	7041051..10141266	+	A03	31845367..32762886
258	C02	5406408..6779463	+	A03	31367737..31832745
259	C02	10094646..11309924	+	A03	26129641..26526868
260	C02	29143540..32074768	+	A03	8214063..9155713
261	C02	3312689..4109121	+	A03	18218216..18487980
268	C02	31820338..32255695	-	A03	31276062..31421553
467	C03	1982512..6174899	+	A03	29643592..32786131
468	C03	805..1974904	+	A03	27557180..29228600
469	C03	17185827..20062578	+	A03	16770154..18407426
470	C03	11545698..14234345	+	A03	13645764..15182163
471	C03	6166313..8164709	+	A03	26001949..27390817
472	C03	13895784..16558399	+	A03	15447774..16682343
473	C03	9644815..11315567	+	A03	12647709..13641969
474	C03	23215407..26247982	+	A03	22120623..23729316
475	C03	20065978..21819796	+	A03	19875545..20972916
476	C03	21487137..23194911	+	A03	21090603..21944257
477	C03	8556556..9687694	+	A03	25375943..26056729
478	C03	53054735..55163450	+	A03	3104874..4971840
479	C03	8091984..8576853	+	A03	24327574..24744981
480	C03	16475821..17162326	+	A03	20797556..21190504
481	C03	47939840..49442993	+	A03	8421572..8995026
482	C03	2425850..3125371	+	A03	18142152..18452138
483	C03	50072091..50501554	+	A03	8002233..8209992
484	C03	570143..1300807	+	A03	19887143..20496721
485	C03	28915080..29686130	+	A03	1217555..1647085
503	C03	25751693..28858052	-	A03	11384460..12696973
504	C03	12333849..13081311	-	A03	325..505548
505	C03	128145..313130	-	A03	27636470..27848528
506	C03	50508072..51582771	-	A03	7193963..8008535
507	C03	5817709..7293449	-	A03	5344136..6135365
508	C03	46757524..48056012	-	A03	1695778..2557613
509	C03	49211007..50104819	-	A03	8150247..8782275
510	C03	55678147..56672075	-	A03	20951586..21437886
512	C03	28768753..30223596	-	A03	24071706..24885663
750	C04	32484114..37344959	+	A03	24022433..26135934
751	C04	62837..3630906	+	A03	13656221..15066974
752	C04	38850010..40858375	+	A03	13600089..15003213
753	C04	37280621..38710713	+	A03	12647709..13664761
754	C04	4912972..7320585	+	A03	12647709..13476769
755	C04	18992445..21853228	+	A03	24778501..25537373
756	C04	3685376..4865003	+	A03	25457894..25982378
757	C04	17262661..18694960	+	A03	24035483..24593050
758	C04	8069628..8575657	+	A03	10054360..10230951
766	C04	39503934..40170520	-	A03	325..511137
767	C04	1205508..2543504	-	A03	325..505548
768	C04	13604794..14237184	-	A03	21615776..21816255
769	C04	30293073..31012545	-	A03	15280990..15456885
770	C04	31607564..32626333	-	A03	15122481..15257972
984	C05	4117707..5017275	+	A03	32600645..32771767
990	C05	27583663..30762141	-	A03	20102204..21366634
991	C05	31893584..32709029	-	A03	19141619..19508318
992	C05	18095875..20880260	-	A03	22348713..23005966
993	C05	21946483..23853438	-	A03	21939245..22379480
994	C05	1430026..2561236	-	A03	24022433..24977424
995	C05	31446231..31952313	-	A03	19871312..20082108
996	C05	31446231..31936795	-	A03	28091699..28390934
997	C05	26607884..27369078	-	A03	21436581..21594622
998	C05	508114..932756	-	A03	17234547..17698367
1195	C07	47038704..48018935	+	A03	1185984..2483267
1196	C07	40366622..41001997	+	A03	25020019..25371582
1197	C07	13100423..15971850	+	A03	11319046..11866174
1198	C07	4496508..6881871	+	A03	12004621..12537569
1199	C07	46710822..46841317	+	A03	558574..728810
1214	C07	41033300..46754330	-	A03	2678546..8921680
1215	C07	37782784..39951939	-	A03	8747566..10312735
1216	C07	36750257..37819063	-	A03	10498804..11297565
1217	C07	10099029..13101214	-	A03	1153117..1713322
1218	C07	25253595..26036182	-	A03	26630054..26909290
1219	C07	42028683..43223846	-	A03	16624517..17239689
1220	C07	36584296..37454040	-	A03	28672809..28911293
1221	C07	26405237..26741960	-	A03	26134860..26218444
1222	C07	7113084..8058936	-	A03	4748762..4983290
1224	C07	43777922..44091445	-	A03	26902393..27230105
1442	C06	5193321..6205955	+	A03	15151732..15579416
1443	C06	19741536..21947626	+	A03	20375388..21171968
1444	C06	9754202..11596689	+	A03	20827208..21479164
1445	C06	26903207..27957263	+	A03	14085656..14634402
1453	C06	14371666..15508177	-	A03	23425276..24047869
1454	C06	27189028..27957263	-	A03	325..492631
1669	C08	31088832..32882472	+	A03	13988948..14975878
1670	C08	33946835..34575453	+	A03	3668377..4367302
1671	C08	27617289..28551808	+	A03	25544301..25989939
1683	C08	15368513..16443660	-	A03	5002237..5788350
1684	C08	12973433..14488344	-	A03	9530441..10024864
1685	C08	27374453..27795306	-	A03	10067028..10310333
1686	C08	31590046..32250543	-	A03	325..497670
1687	C08	26338160..27266876	-	A03	10579677..10812023
1688	C08	24942439..26391556	-	A03	23161407..23247058
1939	C09	6565619..9158594	+	A03	8299517..9403880
1940	C09	3696169..4089651	+	A03	10811247..11295468
1941	C09	39678217..40095281	+	A03	27636470..27848528
1942	C09	38005492..38311588	+	A03	28597880..28735616
1943	C09	23395955..25448851	+	A03	5758307..6135365
1950	C09	24730320..33887854	-	A03	30106827..32618547
1951	C09	34943029..37964519	-	A03	28743390..30111537
1952	C09	84001..1692113	-	A03	17198572..18098626
1953	C09	17504586..20765635	-	A03	26694151..27279138
1954	C09	38264173..39240070	-	A03	28228486..28654663
1955	C09	21416210..23790880	-	A03	26267998..26680837
1956	C09	12981428..17256968	-	A03	15808920..16674907
1957	C09	39130746..39706096	-	A03	27844173..28130795
1958	C09	11529197..12860261	-	A03	16840548..17176088
1959	C09	32812034..33804826	-	A03	18199466..18452138
1960	C09	5666054..6098187	-	A03	11791548..12093226
1961	C09	38297655..39083235	-	A03	20003973..20477049
1962	C09	23942396..24648176	-	A03	25992577..26124759
1963	C09	6041789..6419047	-	A03	11352206..11687486
1964	C09	37801508..37962370	-	A03	10959371..11289984
1965	C09	5026163..5866942	-	A03	1215319..1918667
76	C01	38016002..38368134	+	A04	11358813..12121170
77	C01	3454595..4228874	+	A04	6165853..6735223
81	C01	30086525..30736707	-	A04	12806422..13232884
82	C01	22458509..23312573	-	A04	8285548..8810306
83	C01	12363..677643	-	A04	4803891..5788376
84	C01	21809840..22655897	-	A04	9117411..9517189
85	C01	730131..1145388	-	A04	6807097..7259370
279	C02	37957914..39225990	+	A04	18121942..18976878
525	C03	8108679..8501941	+	A04	10792527..11371313
526	C03	23114355..23679224	+	A04	12809635..13232884
527	C03	43937819..45229545	+	A04	12143113..12454919
532	C03	8469039..11315567	-	A04	14000940..15837849
533	C03	11545698..12276898	-	A04	13350536..13993570
534	C03	12897143..14068388	-	A04	155624..1074925
535	C03	12938840..13712308	-	A04	15884264..16449845
536	C03	45970987..47091071	-	A04	4816882..5788376
537	C03	52303314..52924642	-	A04	8892126..9248549
538	C03	11625872..12087393	-	A04	1768880..2204990
780	C04	34667219..35997741	+	A04	11822450..12577344
781	C04	29459844..31108069	+	A04	7088129..8279584
782	C04	21913265..24081315	+	A04	1928639..3098670
783	C04	18992445..21505564	+	A04	11660888..12565359
784	C04	32620404..34617903	+	A04	10557540..11644952
785	C04	27177387..28581238	+	A04	3597538..4725711
786	C04	9136474..10010034	+	A04	1547781..1930144
787	C04	17290289..18738624	+	A04	10565427..11529653
788	C04	24020183..24651797	+	A04	18984600..19362210
789	C04	8436626..9091955	+	A04	1206428..1407844
790	C04	15056246..15254524	+	A04	20773413..20868579
791	C04	15200876..16254189	+	A04	9624523..10217689
792	C04	32331224..32600291	+	A04	12609163..12792026
793	C04	7289959..8289657	+	A04	15177536..15607912
803	C04	36001245..39438221	-	A04	13470192..15803677
804	C04	2545863..6366086	-	A04	14525084..16251984
805	C04	24671506..26617119	-	A04	19268008..20719656
806	C04	40095343..40760480	-	A04	15817498..16449845
807	C04	26806..1193719	-	A04	13234537..13959254
808	C04	28183621..29679603	-	A04	5538917..6265572
809	C04	31123991..32218280	-	A04	9665064..10273713
810	C04	40001435..40862056	-	A04	255393..1058286
811	C04	14365044..14963257	-	A04	122635..345406
812	C04	1815761..3502275	-	A04	289787..1103855
813	C04	6644772..7320585	-	A04	14179228..14476350
814	C04	34509..819209	-	A04	1616237..2259746
815	C04	21475494..21825121	-	A04	15740012..15914909
816	C04	10881455..12225280	-	A04	7612098..7935906
817	C04	6753356..7320585	-	A04	2401154..2847759
818	C04	1051246..1695982	-	A04	1111437..1463047
1005	C05	25152262..25501764	+	A04	8553892..9202853
1008	C05	22175720..23628907	-	A04	12779401..13232884
1009	C05	1566085..2477716	-	A04	10581270..11680669
1010	C05	8285513..9300555	-	A04	16513957..17450133
1238	C07	40366622..40994912	+	A04	12001533..12540903
1239	C07	32415964..33427445	+	A04	18244539..18929174
1246	C07	45724256..46134969	-	A04	6399555..6784840
1460	C06	23325224..24645936	+	A04	16264351..16742927
1461	C06	28990094..29905776	+	A04	2573841..3333633
1462	C06	28627569..29122535	+	A04	1407070..1665190
1464	C06	26903207..28134287	-	A04	759105..1407844
1465	C06	13785972..15436041	-	A04	16755409..17450133
1466	C06	16076426..16834783	-	A04	41064..495379
1467	C06	5539439..5971295	-	A04	7791225..8212190
1468	C06	26518507..26876706	-	A04	1665575..1872832
1469	C06	15513357..15932029	-	A04	14907370..15115715
1697	C08	33764191..35034451	+	A04	5866526..7230022
1698	C08	34932497..35899239	+	A04	4760331..5810745
1699	C08	4297072..6975339	+	A04	3614452..4401939
1701	C08	29264293..33499072	-	A04	35149..2931108
1702	C08	29193437..31156444	-	A04	13383464..14410844
1703	C08	31993568..33050721	-	A04	15834794..16546017
1704	C08	27617289..28813764	-	A04	14803979..15601199
1705	C08	28630049..29026956	-	A04	3188052..3592178
88	C01	35469356..37231552	+	A05	2022902..3035072
89	C01	34734589..35460679	+	A05	3962408..4380117
90	C01	32782377..33713857	+	A05	2967582..3388245
91	C01	29471894..30185569	+	A05	6381627..6843519
98	C01	30311067..32458398	-	A05	4768730..6340030
99	C01	36818843..37987036	-	A05	1185540..2013688
100	C01	38128514..38750671	-	A05	696201..1353951
101	C01	27851575..29695919	-	A05	7077481..8409620
102	C01	32344995..32740175	-	A05	4405357..4662533
103	C01	32672458..33786955	-	A05	8261644..8646620
104	C01	27533554..28354643	-	A05	9350579..10153219
282	C02	23839332..24740845	+	A05	16581859..16930125
283	C02	1042009..1804675	+	A05	1586579..2013688
284	C02	3277414..3768121	+	A05	26745..345094
288	C02	24200586..24497564	-	A05	16649013..16762150
289	C02	1839704..2157120	-	A05	2396519..2878888
290	C02	42125076..42780994	-	A05	356383..698284
291	C02	40400752..41167826	-	A05	814835..1187244
546	C03	12324637..13521595	+	A05	18480253..19579396
547	C03	22167356..23194911	+	A05	4427742..5728726
548	C03	23465988..24898400	+	A05	6943772..8173910
549	C03	11573797..12276898	+	A05	17764283..18311279
550	C03	55758099..57655749	+	A05	2995600..4547540
551	C03	49263..817888	+	A05	1492208..1963210
552	C03	18033735..18787551	+	A05	16324838..16922968
553	C03	19743543..20023842	+	A05	10454..305753
554	C03	2657995..3003738	+	A05	110532..343093
566	C03	8562310..11380760	-	A05	19550322..22002536
567	C03	20413131..21103427	-	A05	2022902..2523812
568	C03	21113016..21615829	-	A05	3864145..4380117
569	C03	16805706..17162326	-	A05	3251621..3676384
570	C03	23393774..23928005	-	A05	6461983..7219016
571	C03	13773168..14081685	-	A05	17009217..17395127
572	C03	8108679..8505916	-	A05	14493608..15059904
573	C03	13565389..13712308	-	A05	17547149..17751619
574	C03	21661066..22404600	-	A05	2790255..3246712
575	C03	55549198..56360027	-	A05	8198617..8868592
576	C03	899622..1227393	-	A05	2440423..2868028
577	C03	20348421..20552405	-	A05	2711289..2850507
578	C03	44527112..45229545	-	A05	22279654..22674525
579	C03	23477697..24150742	-	A05	8717044..9502830
829	C04	26806..3143662	+	A05	17753637..19568094
830	C04	39453447..40650426	+	A05	18353113..19615181
831	C04	38900964..39428485	+	A05	17769645..18189635
832	C04	18992445..19311017	+	A05	23275939..23543714
833	C04	38475256..38906303	+	A05	2790255..3052493
834	C04	22669868..23621800	+	A05	19758034..20101079
840	C04	3683395..7469282	-	A05	19820850..21759172
841	C04	19201735..21825121	-	A05	21833239..23208305
842	C04	34712153..37938243	-	A05	20289850..23204782
843	C04	16419863..19120215	-	A05	14486769..15705783
844	C04	37995152..38624428	-	A05	19606048..20174893
845	C04	3164394..3935188	-	A05	17089790..17619140
846	C04	32256661..33475084	-	A05	14837137..15705783
847	C04	13856851..14294392	-	A05	4789939..5043057
848	C04	40370252..40858375	-	A05	17289763..17920904
849	C04	13073262..13891105	-	A05	11075795..11772647
850	C04	33847391..34182999	-	A05	23598884..23712181
851	C04	33661029..33885239	-	A05	14195841..14539899
1014	C05	29596563..30798882	+	A05	2022902..2742087
1015	C05	27536525..28724462	+	A05	3037398..3735235
1016	C05	28425446..29589734	+	A05	3800287..4380117
1017	C05	20973629..22711971	+	A05	6413509..7042761
1018	C05	25348476..25942438	+	A05	15744098..15991449
1019	C05	7764249..9142048	+	A05	10055406..10841787
1020	C05	31410796..31673702	+	A05	2740587..3013118
1021	C05	2056936..2561236	+	A05	14567747..15547426
1022	C05	17241103..17463923	+	A05	8052460..8178253
1030	C05	31893584..32710477	-	A05	670747..1309656
1031	C05	19036067..20888226	-	A05	7077481..7791741
1032	C05	31526112..31982340	-	A05	1807789..2033581
1033	C05	22715658..23715064	-	A05	5924029..6376503
1034	C05	26541780..27385560	-	A05	4405357..4782135
1035	C05	23729364..24814303	-	A05	5056596..5303739
1036	C05	18321529..18847809	-	A05	9628664..9777577
1037	C05	621285..842028	-	A05	16526313..16875140
1038	C05	27334517..27799817	-	A05	8383367..8646620
1039	C05	18799126..18924274	-	A05	7981394..8178253
1041	C05	20386..335710	-	A05	17401059..17794555
1251	C07	18423028..20617416	-	A05	11909061..12944019
1252	C07	40366622..41068767	-	A05	22014846..22934498
1253	C07	34638524..34903181	-	A05	901593..1187244
1474	C06	10892033..11706600	+	A05	8327537..8720392
1475	C06	12189454..13193600	+	A05	8533500..9234401
1476	C06	22094863..23015654	+	A05	8501905..9194465
1477	C06	26671419..27957263	+	A05	18276104..19196323
1487	C06	19864580..22183727	-	A05	3180766..4638129
1488	C06	9752149..10681742	-	A05	13159467..13768645
1489	C06	18830116..19313115	-	A05	13834223..14149777
1490	C06	9754202..10756149	-	A05	3411952..3941664
1491	C06	694779..1104520	-	A05	8052460..8438583
1492	C06	21045524..21657657	-	A05	13159467..13768645
1493	C06	16065934..17076521	-	A05	16798922..17743007
1494	C06	15513357..15932029	-	A05	20783924..21037618
1495	C06	12226866..12992803	-	A05	7077481..7608479
1496	C06	22698835..24412371	-	A05	10714606..11478244
1715	C08	30167412..32669086	+	A05	17764283..19549575
1716	C08	39131890..39527398	+	A05	15746619..15991449
1719	C08	17695575..18294018	-	A05	15744098..15991449
1720	C08	27739954..28850160	-	A05	20594119..21652446
1721	C08	32439364..33433307	-	A05	17003624..17896966
1722	C08	29193437..30091502	-	A05	19600099..20144842
1723	C08	14538083..15154808	-	A05	16082523..16556970
1984	C09	38329980..39083235	+	A05	2423712..2902536
1986	C09	1003484..1584799	-	A05	16324838..16922968
1987	C09	32940495..33863646	-	A05	25267..345094
1988	C09	39340388..39993084	-	A05	1516503..1746588
111	C01	15023523..17947490	+	A06	9835441..10990807
112	C01	20639..336777	+	A06	22042023..22286518
113	C01	34734589..35643515	+	A06	3801..446366
114	C01	6388139..7115511	+	A06	21488059..21740516
115	C01	5858746..6239028	+	A06	21050779..21344478
116	C01	32657354..33713857	+	A06	2798192..3127360
122	C01	15913121..17003310	-	A06	23991088..24590658
123	C01	17239053..18030336	-	A06	23260536..23769732
124	C01	7228289..7555920	-	A06	22835551..22946374
125	C01	38362657..38750671	-	A06	17716903..18160618
126	C01	28810172..30107899	-	A06	2360756..2901883
127	C01	31170173..31955337	-	A06	1637769..1920635
128	C01	3296749..3816872	-	A06	12030588..12482528
130	C01	20244005..22031136	-	A06	4989584..5388940
293	C02	36466493..40300889	+	A06	18253952..20030802
294	C02	41136596..42261835	+	A06	16155330..17314043
295	C02	17155797..19572301	+	A06	7140622..8682838
296	C02	27667083..29533757	+	A06	22419144..22941978
298	C02	33873063..34967425	+	A06	6787996..7043550
303	C02	32283719..35712443	-	A06	20078359..21238701
304	C02	42613211..44030988	-	A06	11498347..12603803
305	C02	40147878..41118315	-	A06	17716903..18311848
306	C02	29324679..32074768	-	A06	21346508..21936018
307	C02	42227769..42794280	-	A06	12810860..13209498
308	C02	376485..920949	-	A06	22704260..22837047
309	C02	15709090..17128243	-	A06	5500476..5991757
584	C03	41746935..43054848	+	A06	16433459..16873496
585	C03	56868535..57754095	+	A06	3801..377267
586	C03	45893229..46545662	+	A06	21973038..22286518
587	C03	31103526..31634172	+	A06	23262190..23615838
588	C03	55554488..56280275	+	A06	2752143..3174397
589	C03	56359554..56871947	+	A06	512173..723350
599	C03	29881399..31054103	-	A06	15941212..16575459
600	C03	28724136..29835438	-	A06	17188920..17719722
601	C03	38950224..40121817	-	A06	24336555..24961468
602	C03	34222912..35545034	-	A06	25786768..26192401
603	C03	31085825..31634172	-	A06	10821122..11101001
604	C03	35480497..36299190	-	A06	25101151..25406795
605	C03	40725944..42164541	-	A06	9446998..10243736
606	C03	49841816..50065365	-	A06	22835551..22946374
