Num	Chromosome	Region	Strand	MappedChromosome	MappedRegion
450	A02	2029195..2508824	+	C03	19692848..20061086
451	A02	5804429..6053256	+	C03	55254717..55559274
456	A02	13989..1167732	-	C03	19969..1729846
457	A02	6626229..8232984	-	C03	6553888..8003284
458	A02	5591702..6223308	-	C03	5971023..6512002
459	A02	22385247..22467901	-	C03	42496122..43024060
460	A02	14196744..14594822	-	C03	19298931..19625908
461	A02	3476224..4118672	-	C03	36405744..39265891
745	A02	23330024..23949085	+	C04	26543430..27069976
972	A02	11066114..12622445	+	C05	13735892..16518115
973	A02	472846..729715	+	C05	31505608..31936795
979	A02	13063854..14011085	-	C05	5824643..6991595
980	A02	5781135..6234563	-	C05	4312797..5125090
1173	A02	8243116..9352035	+	C07	32135900..34194541
1174	A02	16498458..18027628	+	C07	27602038..29495460
1175	A02	7394669..7880935	+	C07	25135252..26315049
1184	A02	21220693..21994521	-	C07	36045130..37398210
1185	A02	19900731..20369469	-	C07	34314983..34939343
1186	A02	18483190..18883202	-	C07	35344460..36032624
1187	A02	16053754..16747185	-	C07	41033300..41592446
1188	A02	17028606..17968086	-	C07	38656346..39414838
1189	A02	15949039..16694254	-	C07	24060881..24915460
1426	A02	18041571..18460070	+	C06	7521161..8146119
1427	A02	20703714..20899357	+	C06	16929995..17917859
1434	A02	11532494..13756480	-	C06	2001..2504081
1435	A02	9323125..12595622	-	C06	31408117..35576702
1436	A02	10692333..11647640	-	C06	2944597..4226535
1437	A02	12928533..14059928	-	C06	30023304..31384453
1438	A02	9651462..10224233	-	C06	4427196..5255742
1439	A02	14923920..15369969	-	C06	35536418..37369218
1440	A02	9435948..9658174	-	C06	7048411..7395013
1662	A02	10692333..11195205	-	C08	36670091..36957712
1907	A02	6737525..7693068	+	C09	17336879..20768268
1908	A02	8260997..9326734	+	C09	1744748..2388383
1909	A02	758518..1094213	+	C09	39328608..40098480
1910	A02	7728860..8276356	+	C09	21489993..23384688
1911	A02	167521..638511	+	C09	38179293..39219279
1912	A02	21220693..22037226	+	C09	3696169..4630697
1913	A02	16053754..17381829	+	C09	6932349..8739626
1914	A02	5575..201797	+	C09	37547975..37964519
1915	A02	23009515..23871257	+	C09	31888672..32814204
1916	A02	17501467..18011583	+	C09	8706509..9179679
1917	A02	5568508..5702070	+	C09	23379354..23867302
1918	A02	18925395..19041705	+	C09	3491217..3624710
1919	A02	5841961..6128706	+	C09	23931701..24889024
1920	A02	14156989..14749161	+	C09	22773..708554
1921	A02	18545209..18799817	+	C09	4600658..4775486
1922	A02	15329022..15894468	+	C09	13033490..14275925
1926	A02	2151856..4320198	-	C09	28370646..33880855
1927	A02	1281973..2095518	-	C09	34983779..36760831
1928	A02	4505911..5614782	-	C09	24750857..28283433
1929	A02	19102236..19738644	-	C09	2837513..3449916
1930	A02	19870923..20369469	-	C09	2435306..2774598
1931	A02	21999630..22154875	-	C09	5163886..5593699
1932	A02	204680..351740	-	C09	37920268..38298684
1933	A02	20395763..20634884	-	C09	30849137..31469984
43	A03	3030011..5413247	+	C01	2560793..5859156
44	A03	24642867..25168798	+	C01	38016002..38457602
45	A03	19583429..19836989	+	C01	37383139..37874348
46	A03	853979..1302175	+	C01	33873179..34579316
47	A03	26001949..26510224	+	C01	12592344..13432195
48	A03	11296345..11846764	+	C01	1888737..2386559
57	A03	5412561..8949158	-	C01	6342073..14237322
58	A03	567054..2521538	-	C01	260888..2595265
59	A03	19856569..20792965	-	C01	34771900..37262491
60	A03	21100648..22842586	-	C01	28674389..33786955
61	A03	19155469..19549581	-	C01	38200135..38750671
62	A03	22665586..23349760	-	C01	25569123..28690491
63	A03	27995828..28580968	-	C01	36155790..37360378
64	A03	9170574..9354012	-	C01	5875757..6220177
65	A03	16822689..17146991	-	C01	8216683..8994406
67	A03	26984837..27367835	-	C01	11333710..11836402
68	A03	10124296..10598925	-	C01	1079798..1818843
71	A03	10596784..11125321	-	C01	6731833..7825775
255	A03	27430617..29478138	+	C02	51843..3301726
256	A03	30118949..31226476	+	C02	3296103..5395529
257	A03	31845367..32762886	+	C02	7041051..10141266
258	A03	31367737..31832745	+	C02	5406408..6779463
259	A03	26129641..26526868	+	C02	10094646..11309924
260	A03	8214063..9155713	+	C02	29143540..32074768
261	A03	18218216..18487980	+	C02	3312689..4109121
268	A03	31276062..31421553	-	C02	31820338..32255695
467	A03	29643592..32786131	+	C03	1982512..6174899
468	A03	27557180..29228600	+	C03	805..1974904
469	A03	16770154..18407426	+	C03	17185827..20062578
470	A03	13645764..15182163	+	C03	11545698..14234345
471	A03	26001949..27390817	+	C03	6166313..8164709
472	A03	15447774..16682343	+	C03	13895784..16558399
473	A03	12647709..13641969	+	C03	9644815..11315567
474	A03	22120623..23729316	+	C03	23215407..26247982
475	A03	19875545..20972916	+	C03	20065978..21819796
476	A03	21090603..21944257	+	C03	21487137..23194911
477	A03	25375943..26056729	+	C03	8556556..9687694
478	A03	3104874..4971840	+	C03	53054735..55163450
479	A03	24327574..24744981	+	C03	8091984..8576853
480	A03	20797556..21190504	+	C03	16475821..17162326
481	A03	8421572..8995026	+	C03	47939840..49442993
482	A03	18142152..18452138	+	C03	2425850..3125371
483	A03	8002233..8209992	+	C03	50072091..50501554
484	A03	19887143..20496721	+	C03	570143..1300807
485	A03	1217555..1647085	+	C03	28915080..29686130
503	A03	11384460..12696973	-	C03	25751693..28858052
504	A03	325..505548	-	C03	12333849..13081311
505	A03	27636470..27848528	-	C03	128145..313130
506	A03	7193963..8008535	-	C03	50508072..51582771
507	A03	5344136..6135365	-	C03	5817709..7293449
508	A03	1695778..2557613	-	C03	46757524..48056012
509	A03	8150247..8782275	-	C03	49211007..50104819
510	A03	20951586..21437886	-	C03	55678147..56672075
512	A03	24071706..24885663	-	C03	28768753..30223596
750	A03	24022433..26135934	+	C04	32484114..37344959
751	A03	13656221..15066974	+	C04	62837..3630906
752	A03	13600089..15003213	+	C04	38850010..40858375
753	A03	12647709..13664761	+	C04	37280621..38710713
754	A03	12647709..13476769	+	C04	4912972..7320585
755	A03	24778501..25537373	+	C04	18992445..21853228
756	A03	25457894..25982378	+	C04	3685376..4865003
757	A03	24035483..24593050	+	C04	17262661..18694960
758	A03	10054360..10230951	+	C04	8069628..8575657
766	A03	325..511137	-	C04	39503934..40170520
767	A03	325..505548	-	C04	1205508..2543504
768	A03	21615776..21816255	-	C04	13604794..14237184
769	A03	15280990..15456885	-	C04	30293073..31012545
770	A03	15122481..15257972	-	C04	31607564..32626333
984	A03	32600645..32771767	+	C05	4117707..5017275
990	A03	20102204..21366634	-	C05	27583663..30762141
991	A03	19141619..19508318	-	C05	31893584..32709029
992	A03	22348713..23005966	-	C05	18095875..20880260
993	A03	21939245..22379480	-	C05	21946483..23853438
994	A03	24022433..24977424	-	C05	1430026..2561236
995	A03	19871312..20082108	-	C05	31446231..31952313
996	A03	28091699..28390934	-	C05	31446231..31936795
997	A03	21436581..21594622	-	C05	26607884..27369078
998	A03	17234547..17698367	-	C05	508114..932756
1195	A03	1185984..2483267	+	C07	47038704..48018935
1196	A03	25020019..25371582	+	C07	40366622..41001997
1197	A03	11319046..11866174	+	C07	13100423..15971850
1198	A03	12004621..12537569	+	C07	4496508..6881871
1199	A03	558574..728810	+	C07	46710822..46841317
1214	A03	2678546..8921680	-	C07	41033300..46754330
1215	A03	8747566..10312735	-	C07	37782784..39951939
1216	A03	10498804..11297565	-	C07	36750257..37819063
1217	A03	1153117..1713322	-	C07	10099029..13101214
1218	A03	26630054..26909290	-	C07	25253595..26036182
1219	A03	16624517..17239689	-	C07	42028683..43223846
1220	A03	28672809..28911293	-	C07	36584296..37454040
1221	A03	26134860..26218444	-	C07	26405237..26741960
1222	A03	4748762..4983290	-	C07	7113084..8058936
1224	A03	26902393..27230105	-	C07	43777922..44091445
1442	A03	15151732..15579416	+	C06	5193321..6205955
1443	A03	20375388..21171968	+	C06	19741536..21947626
1444	A03	20827208..21479164	+	C06	9754202..11596689
1445	A03	14085656..14634402	+	C06	26903207..27957263
1453	A03	23425276..24047869	-	C06	14371666..15508177
1454	A03	325..492631	-	C06	27189028..27957263
1669	A03	13988948..14975878	+	C08	31088832..32882472
1670	A03	3668377..4367302	+	C08	33946835..34575453
1671	A03	25544301..25989939	+	C08	27617289..28551808
1683	A03	5002237..5788350	-	C08	15368513..16443660
1684	A03	9530441..10024864	-	C08	12973433..14488344
1685	A03	10067028..10310333	-	C08	27374453..27795306
1686	A03	325..497670	-	C08	31590046..32250543
1687	A03	10579677..10812023	-	C08	26338160..27266876
1688	A03	23161407..23247058	-	C08	24942439..26391556
1939	A03	8299517..9403880	+	C09	6565619..9158594
1940	A03	10811247..11295468	+	C09	3696169..4089651
1941	A03	27636470..27848528	+	C09	39678217..40095281
1942	A03	28597880..28735616	+	C09	38005492..38311588
1943	A03	5758307..6135365	+	C09	23395955..25448851
1950	A03	30106827..32618547	-	C09	24730320..33887854
1951	A03	28743390..30111537	-	C09	34943029..37964519
1952	A03	17198572..18098626	-	C09	84001..1692113
1953	A03	26694151..27279138	-	C09	17504586..20765635
1954	A03	28228486..28654663	-	C09	38264173..39240070
1955	A03	26267998..26680837	-	C09	21416210..23790880
1956	A03	15808920..16674907	-	C09	12981428..17256968
1957	A03	27844173..28130795	-	C09	39130746..39706096
1958	A03	16840548..17176088	-	C09	11529197..12860261
1959	A03	18199466..18452138	-	C09	32812034..33804826
1960	A03	11791548..12093226	-	C09	5666054..6098187
1961	A03	20003973..20477049	-	C09	38297655..39083235
1962	A03	25992577..26124759	-	C09	23942396..24648176
1963	A03	11352206..11687486	-	C09	6041789..6419047
1964	A03	10959371..11289984	-	C09	37801508..37962370
1965	A03	1215319..1918667	-	C09	5026163..5866942
76	A04	11358813..12121170	+	C01	38016002..38368134
77	A04	6165853..6735223	+	C01	3454595..4228874
81	A04	12806422..13232884	-	C01	30086525..30736707
82	A04	8285548..8810306	-	C01	22458509..23312573
83	A04	4803891..5788376	-	C01	12363..677643
84	A04	9117411..9517189	-	C01	21809840..22655897
85	A04	6807097..7259370	-	C01	730131..1145388
279	A04	18121942..18976878	+	C02	37957914..39225990
525	A04	10792527..11371313	+	C03	8108679..8501941
526	A04	12809635..13232884	+	C03	23114355..23679224
527	A04	12143113..12454919	+	C03	43937819..45229545
532	A04	14000940..15837849	-	C03	8469039..11315567
533	A04	13350536..13993570	-	C03	11545698..12276898
534	A04	155624..1074925	-	C03	12897143..14068388
535	A04	15884264..16449845	-	C03	12938840..13712308
536	A04	4816882..5788376	-	C03	45970987..47091071
537	A04	8892126..9248549	-	C03	52303314..52924642
538	A04	1768880..2204990	-	C03	11625872..12087393
780	A04	11822450..12577344	+	C04	34667219..35997741
781	A04	7088129..8279584	+	C04	29459844..31108069
782	A04	1928639..3098670	+	C04	21913265..24081315
783	A04	11660888..12565359	+	C04	18992445..21505564
784	A04	10557540..11644952	+	C04	32620404..34617903
785	A04	3597538..4725711	+	C04	27177387..28581238
786	A04	1547781..1930144	+	C04	9136474..10010034
787	A04	10565427..11529653	+	C04	17290289..18738624
788	A04	18984600..19362210	+	C04	24020183..24651797
789	A04	1206428..1407844	+	C04	8436626..9091955
790	A04	20773413..20868579	+	C04	15056246..15254524
791	A04	9624523..10217689	+	C04	15200876..16254189
792	A04	12609163..12792026	+	C04	32331224..32600291
793	A04	15177536..15607912	+	C04	7289959..8289657
803	A04	13470192..15803677	-	C04	36001245..39438221
804	A04	14525084..16251984	-	C04	2545863..6366086
805	A04	19268008..20719656	-	C04	24671506..26617119
806	A04	15817498..16449845	-	C04	40095343..40760480
807	A04	13234537..13959254	-	C04	26806..1193719
808	A04	5538917..6265572	-	C04	28183621..29679603
809	A04	9665064..10273713	-	C04	31123991..32218280
810	A04	255393..1058286	-	C04	40001435..40862056
811	A04	122635..345406	-	C04	14365044..14963257
812	A04	289787..1103855	-	C04	1815761..3502275
813	A04	14179228..14476350	-	C04	6644772..7320585
814	A04	1616237..2259746	-	C04	34509..819209
815	A04	15740012..15914909	-	C04	21475494..21825121
816	A04	7612098..7935906	-	C04	10881455..12225280
817	A04	2401154..2847759	-	C04	6753356..7320585
818	A04	1111437..1463047	-	C04	1051246..1695982
1005	A04	8553892..9202853	+	C05	25152262..25501764
1008	A04	12779401..13232884	-	C05	22175720..23628907
1009	A04	10581270..11680669	-	C05	1566085..2477716
1010	A04	16513957..17450133	-	C05	8285513..9300555
1238	A04	12001533..12540903	+	C07	40366622..40994912
1239	A04	18244539..18929174	+	C07	32415964..33427445
1246	A04	6399555..6784840	-	C07	45724256..46134969
1460	A04	16264351..16742927	+	C06	23325224..24645936
1461	A04	2573841..3333633	+	C06	28990094..29905776
1462	A04	1407070..1665190	+	C06	28627569..29122535
1464	A04	759105..1407844	-	C06	26903207..28134287
1465	A04	16755409..17450133	-	C06	13785972..15436041
1466	A04	41064..495379	-	C06	16076426..16834783
1467	A04	7791225..8212190	-	C06	5539439..5971295
1468	A04	1665575..1872832	-	C06	26518507..26876706
1469	A04	14907370..15115715	-	C06	15513357..15932029
1697	A04	5866526..7230022	+	C08	33764191..35034451
1698	A04	4760331..5810745	+	C08	34932497..35899239
1699	A04	3614452..4401939	+	C08	4297072..6975339
1701	A04	35149..2931108	-	C08	29264293..33499072
1702	A04	13383464..14410844	-	C08	29193437..31156444
1703	A04	15834794..16546017	-	C08	31993568..33050721
1704	A04	14803979..15601199	-	C08	27617289..28813764
1705	A04	3188052..3592178	-	C08	28630049..29026956
88	A05	2022902..3035072	+	C01	35469356..37231552
89	A05	3962408..4380117	+	C01	34734589..35460679
90	A05	2967582..3388245	+	C01	32782377..33713857
91	A05	6381627..6843519	+	C01	29471894..30185569
98	A05	4768730..6340030	-	C01	30311067..32458398
99	A05	1185540..2013688	-	C01	36818843..37987036
100	A05	696201..1353951	-	C01	38128514..38750671
101	A05	7077481..8409620	-	C01	27851575..29695919
102	A05	4405357..4662533	-	C01	32344995..32740175
103	A05	8261644..8646620	-	C01	32672458..33786955
104	A05	9350579..10153219	-	C01	27533554..28354643
282	A05	16581859..16930125	+	C02	23839332..24740845
283	A05	1586579..2013688	+	C02	1042009..1804675
284	A05	26745..345094	+	C02	3277414..3768121
288	A05	16649013..16762150	-	C02	24200586..24497564
289	A05	2396519..2878888	-	C02	1839704..2157120
290	A05	356383..698284	-	C02	42125076..42780994
291	A05	814835..1187244	-	C02	40400752..41167826
546	A05	18480253..19579396	+	C03	12324637..13521595
547	A05	4427742..5728726	+	C03	22167356..23194911
548	A05	6943772..8173910	+	C03	23465988..24898400
549	A05	17764283..18311279	+	C03	11573797..12276898
550	A05	2995600..4547540	+	C03	55758099..57655749
551	A05	1492208..1963210	+	C03	49263..817888
552	A05	16324838..16922968	+	C03	18033735..18787551
553	A05	10454..305753	+	C03	19743543..20023842
554	A05	110532..343093	+	C03	2657995..3003738
566	A05	19550322..22002536	-	C03	8562310..11380760
567	A05	2022902..2523812	-	C03	20413131..21103427
568	A05	3864145..4380117	-	C03	21113016..21615829
569	A05	3251621..3676384	-	C03	16805706..17162326
570	A05	6461983..7219016	-	C03	23393774..23928005
571	A05	17009217..17395127	-	C03	13773168..14081685
572	A05	14493608..15059904	-	C03	8108679..8505916
573	A05	17547149..17751619	-	C03	13565389..13712308
574	A05	2790255..3246712	-	C03	21661066..22404600
575	A05	8198617..8868592	-	C03	55549198..56360027
576	A05	2440423..2868028	-	C03	899622..1227393
577	A05	2711289..2850507	-	C03	20348421..20552405
578	A05	22279654..22674525	-	C03	44527112..45229545
579	A05	8717044..9502830	-	C03	23477697..24150742
829	A05	17753637..19568094	+	C04	26806..3143662
830	A05	18353113..19615181	+	C04	39453447..40650426
831	A05	17769645..18189635	+	C04	38900964..39428485
832	A05	23275939..23543714	+	C04	18992445..19311017
833	A05	2790255..3052493	+	C04	38475256..38906303
834	A05	19758034..20101079	+	C04	22669868..23621800
840	A05	19820850..21759172	-	C04	3683395..7469282
841	A05	21833239..23208305	-	C04	19201735..21825121
842	A05	20289850..23204782	-	C04	34712153..37938243
843	A05	14486769..15705783	-	C04	16419863..19120215
844	A05	19606048..20174893	-	C04	37995152..38624428
845	A05	17089790..17619140	-	C04	3164394..3935188
846	A05	14837137..15705783	-	C04	32256661..33475084
847	A05	4789939..5043057	-	C04	13856851..14294392
848	A05	17289763..17920904	-	C04	40370252..40858375
849	A05	11075795..11772647	-	C04	13073262..13891105
850	A05	23598884..23712181	-	C04	33847391..34182999
851	A05	14195841..14539899	-	C04	33661029..33885239
1014	A05	2022902..2742087	+	C05	29596563..30798882
1015	A05	3037398..3735235	+	C05	27536525..28724462
1016	A05	3800287..4380117	+	C05	28425446..29589734
1017	A05	6413509..7042761	+	C05	20973629..22711971
1018	A05	15744098..15991449	+	C05	25348476..25942438
1019	A05	10055406..10841787	+	C05	7764249..9142048
1020	A05	2740587..3013118	+	C05	31410796..31673702
1021	A05	14567747..15547426	+	C05	2056936..2561236
1022	A05	8052460..8178253	+	C05	17241103..17463923
1030	A05	670747..1309656	-	C05	31893584..32710477
1031	A05	7077481..7791741	-	C05	19036067..20888226
1032	A05	1807789..2033581	-	C05	31526112..31982340
1033	A05	5924029..6376503	-	C05	22715658..23715064
1034	A05	4405357..4782135	-	C05	26541780..27385560
1035	A05	5056596..5303739	-	C05	23729364..24814303
1036	A05	9628664..9777577	-	C05	18321529..18847809
1037	A05	16526313..16875140	-	C05	621285..842028
1038	A05	8383367..8646620	-	C05	27334517..27799817
1039	A05	7981394..8178253	-	C05	18799126..18924274
1041	A05	17401059..17794555	-	C05	20386..335710
1251	A05	11909061..12944019	-	C07	18423028..20617416
1252	A05	22014846..22934498	-	C07	40366622..41068767
1253	A05	901593..1187244	-	C07	34638524..34903181
1474	A05	8327537..8720392	+	C06	10892033..11706600
1475	A05	8533500..9234401	+	C06	12189454..13193600
1476	A05	8501905..9194465	+	C06	22094863..23015654
1477	A05	18276104..19196323	+	C06	26671419..27957263
1487	A05	3180766..4638129	-	C06	19864580..22183727
1488	A05	13159467..13768645	-	C06	9752149..10681742
1489	A05	13834223..14149777	-	C06	18830116..19313115
1490	A05	3411952..3941664	-	C06	9754202..10756149
1491	A05	8052460..8438583	-	C06	694779..1104520
1492	A05	13159467..13768645	-	C06	21045524..21657657
1493	A05	16798922..17743007	-	C06	16065934..17076521
1494	A05	20783924..21037618	-	C06	15513357..15932029
1495	A05	7077481..7608479	-	C06	12226866..12992803
1496	A05	10714606..11478244	-	C06	22698835..24412371
1715	A05	17764283..19549575	+	C08	30167412..32669086
1716	A05	15746619..15991449	+	C08	39131890..39527398
1719	A05	15744098..15991449	-	C08	17695575..18294018
1720	A05	20594119..21652446	-	C08	27739954..28850160
1721	A05	17003624..17896966	-	C08	32439364..33433307
1722	A05	19600099..20144842	-	C08	29193437..30091502
1723	A05	16082523..16556970	-	C08	14538083..15154808
1984	A05	2423712..2902536	+	C09	38329980..39083235
1986	A05	16324838..16922968	-	C09	1003484..1584799
1987	A05	25267..345094	-	C09	32940495..33863646
1988	A05	1516503..1746588	-	C09	39340388..39993084
111	A06	9835441..10990807	+	C01	15023523..17947490
112	A06	22042023..22286518	+	C01	20639..336777
113	A06	3801..446366	+	C01	34734589..35643515
114	A06	21488059..21740516	+	C01	6388139..7115511
115	A06	21050779..21344478	+	C01	5858746..6239028
116	A06	2798192..3127360	+	C01	32657354..33713857
122	A06	23991088..24590658	-	C01	15913121..17003310
123	A06	23260536..23769732	-	C01	17239053..18030336
124	A06	22835551..22946374	-	C01	7228289..7555920
125	A06	17716903..18160618	-	C01	38362657..38750671
126	A06	2360756..2901883	-	C01	28810172..30107899
127	A06	1637769..1920635	-	C01	31170173..31955337
128	A06	12030588..12482528	-	C01	3296749..3816872
130	A06	4989584..5388940	-	C01	20244005..22031136
293	A06	18253952..20030802	+	C02	36466493..40300889
294	A06	16155330..17314043	+	C02	41136596..42261835
295	A06	7140622..8682838	+	C02	17155797..19572301
296	A06	22419144..22941978	+	C02	27667083..29533757
298	A06	6787996..7043550	+	C02	33873063..34967425
303	A06	20078359..21238701	-	C02	32283719..35712443
304	A06	11498347..12603803	-	C02	42613211..44030988
305	A06	17716903..18311848	-	C02	40147878..41118315
306	A06	21346508..21936018	-	C02	29324679..32074768
307	A06	12810860..13209498	-	C02	42227769..42794280
308	A06	22704260..22837047	-	C02	376485..920949
309	A06	5500476..5991757	-	C02	15709090..17128243
584	A06	16433459..16873496	+	C03	41746935..43054848
585	A06	3801..377267	+	C03	56868535..57754095
586	A06	21973038..22286518	+	C03	45893229..46545662
587	A06	23262190..23615838	+	C03	31103526..31634172
588	A06	2752143..3174397	+	C03	55554488..56280275
589	A06	512173..723350	+	C03	56359554..56871947
599	A06	15941212..16575459	-	C03	29881399..31054103
600	A06	17188920..17719722	-	C03	28724136..29835438
601	A06	24336555..24961468	-	C03	38950224..40121817
602	A06	25786768..26192401	-	C03	34222912..35545034
603	A06	10821122..11101001	-	C03	31085825..31634172
604	A06	25101151..25406795	-	C03	35480497..36299190
605	A06	9446998..10243736	-	C03	40725944..42164541
606	A06	22835551..22946374	-	C03	49841816..50065365
